==============================================================================
2. Extracting from V1 vertices determined by C2 [1-*] (458597)
==============================================================================
Dimension: 458597
The lowest value:                         0.0000
The highest value:                      768.0000

Highest values: 

      Rank    Vertex                       Value   Id
--------------------------------------------------------
       119     13730                    108.0000   BEAVER_D(1978)1:65
       120     10666                    106.0000   LIU_X(2005)41:1462
       121       145                    106.0000   BORNMANN_L(2008)8:93
       122     13797                    103.0000   BOLLEN_J(2006)69:669
       123      5167                    103.0000   SHANNON_C(1948)27:623
       124       302                    103.0000   GLANZEL_W(2004):257
       125     14961                    102.0000   LATOUR_B(1987):
       126     19778                    102.0000   MERTON_R(1988)79:606
       127      4775                    102.0000   HE_Q(1999)48:133
       128      4657                    102.0000   GARFIELD_E(1964):
       129      5120                    101.0000   VANRAAN_A(2004)59:467
       130      4495                    101.0000   GARFIELD_E(1987)257:52
       131      3992                     99.0000   DIODATO_V(1994):
       132      6904                     99.0000   GIBRAT_R(1931):
       133     13649                     99.0000   JACSO_P(2005)89:1537
       134      4410                     99.0000   GARFIELD_E(1990)32:5
       135     13886                     98.0000   PRICE_D(1970):3
       136      3900                     96.0000   ETZKOWIT_H(2000)29:109
       137     10570                     96.0000   VANRAAN_A(2004):19
       138      1189                     96.0000   VANECK_N(2014):285
       139     13849                     95.0000   SMALL_H(1985)7:391
       140      6133                     95.0000   GILBERT_G(1977)7:113
       141      1414                     95.0000   GIRVAN_M(2002)99:7821
       142      6265                     94.0000   HAUSTEIN_S(2014)65:656
       143      2070                     94.0000   SAHA_S(2003)91:42
       144     12124                     93.0000   GARFIELD_E(1970)227:669
       145     19733                     93.0000   KOSMULSK_M(2006)2:4
       146    136511                     93.0000   LAEMMLI_U(1970)227:680
       147       984                     92.0000   AKSNES_D(2003)56:235
       148       799                     92.0000   LUUKKONE_T(1993)28:15
       149      8243                     91.0000   SMALL_H(1985)8:321
       150     14044                     90.0000   NEWMAN_M(2001)64:026118
       151    183102                     90.0000   KONUR_O(2011):
       152      9447                     90.0000   SMALL_H(2006)68:595
       153       548                     90.0000   TRANFIEL_D(2003)14:207
       154     18622                     89.0000   NALIMOV_V(1969):
       155       432                     88.0000   BURT_R(1992):
       156     13815                     88.0000   JIN_B(2006)1:8
       157     27328                     88.0000   MOED_H(1995)46:461
       158     19615                     88.0000   HANNEMAN_R(2005):
       159      4832                     87.0000   BORDONS_M(2002)53:195
       160     17971                     87.0000   BEAVER_D(2001)52:365
       161     13760                     86.0000   KATZ_J(1994)31:31
       162      2013                     85.0000   BERGSTRO_C(2007)68:314
       163     17469                     85.0000   SCIMAGO(2007):
       164     14067                     84.0000   FRAME_J(1977)2:143
       165       721                     84.0000   VANTI_N(2002)31:152
       166      4526                     84.0000   BASTIAN_M(2009):
       167      8346                     84.0000   BALTUSSE_A(2004)98:443
       168     13852                     83.0000   TIJSSEN_R(2002)54:381
       169      9514                     83.0000   NORRIS_M(2007)1:161
       170      9407                     83.0000   GARFIELD_E(1964)144:649
       171      1664                     82.0000   TEECE_D(1997)18:509
       172      5162                     82.0000   LAUDEL_G(2002)11:3
       173       300                     82.0000   FRAME_J(1979)9:481
       174      1097                     82.0000   GLANZEL_W(2001)50:199
       175     59750                     81.0000   BRAUN_T(1985):
       176     29080                     81.0000   NARIN_F(1997)26:317
       177     23524                     81.0000   MCCAIN_K(1986)37:111
       178      5190                     81.0000   LEYDESDO_L(2007)58:1303
       179       449                     80.0000   EISENHAR_K(1989)14:532
       180     13858                     80.0000   ZITT_M(2008)59:1856
       181      6882                     80.0000   AUERBACH_F(1913)59:74
       182      2950                     80.0000   LEHMANN_S(2006)444:1003
       183     19789                     80.0000   BOZEMAN_B(2004)33:599
       184     74418                     80.0000   MORAVCSI_M(1975)5:86
       185     18275                     80.0000   HARZING_A(2010):
       186      2049                     80.0000   BERGSTRO_C(2008)28:11433
       187      6083                     79.0000   WILSDON_J(2015):1363
       188     22692                     79.0000   [ANONYMO(2006):
       189     39407                     79.0000   PRICE_D(1986):
       190      7615                     78.0000   LEFAIVRE_K(2011)469:1487
       191     15038                     78.0000   HICKS_D(2012)41:251
       192     12392                     78.0000   NEWMAN_M(2010):
       193      2488                     78.0000   PIWOWAR_H(2013)493:159
       194     70905                     78.0000   GLANZEL_W(2006)1:10
       195     15155                     77.0000   COLE_S(1967)32:377
       196      3154                     77.0000   PUDOVKIN_A(2002)53:1113
       197     11576                     77.0000   LINDSEY_D(1980)10:145
       198     14072                     76.0000   LARSEN_P(2010)84:575
       199      6185                     76.0000   GASTNER_M(2004)101:7499
       200     21865                     76.0000   WHITLEY_R(2000):
       201     13781                     75.0000   SONNENWA_D(2007)41:643
       202     13732                     75.0000   BEAVER_D(1979)1:133
       203     66534                     75.0000   MOED_H(1996)381:186
       204      7875                     74.0000   AJIFERUK_I(1988)14:421
       205      6276                     74.0000   WOUTERS_P(2012):
       206       748                     74.0000   OKUBO_Y(1997):
       207       557                     74.0000   ZITT_M(2000)47:627
       208    122581                     73.0000   MANDELBR_B(1953):486
       209       184                     73.0000   [ANONYMO(2018):
       210     27118                     72.0000   WHITE_H(2001)52:87
       211       292                     72.0000   STIRLING_A(2007)4:707
       212     33162                     72.0000   PAO_M(1986)37:26
       213      3850                     71.0000   [ANONYMO(2005):
       214       933                     71.0000   BRODY_T(2006)57:1060
       215     86031                     71.0000   ADAMIC_L(2002)3:143
       216      5194                     71.0000   PRIEM_J(2010)15:
       217      8245                     71.0000   WOUTERS_P(1999):
       218     15563                     70.0000   GRIFFITH_B(1974)4:339
       219     15172                     70.0000   KOUSHA_K(2007)58:1055
       220     26317                     70.0000   BURTON_R(1960)11:18
       221     97475                     70.0000   SCHUBERT_A(1990)19:3
       222       186                     70.0000   EGGHE_L(2000)51:145
       223     43556                     70.0000   DEERWEST_S(1990)41:391
       224     18872                     70.0000   WERNERFE_B(1984)5:171
       225       290                     70.0000   SCHUMMER_J(2004)59:425
       226    113352                     69.0000   MANDELBR_B(1982):
       227    108044                     69.0000   ROUSSEAU_R(1997)1:
       228     24474                     69.0000   NICOLAIS_J(2007)41:609
       229     47244                     69.0000   PORTER_A(2005):
       230     45115                     69.0000   AMIN_M(2000)1:1
       231     10366                     69.0000   BENWAY_B(2009)74:30
       232    151354                     69.0000   THELWALL_M(2001)52:1157
       233    285931                     69.0000   ROSEN_K(1980)8:165
       234       536                     69.0000   SCHUMPET_J(1934):
       235     30252                     68.0000   COZZENS_S(1989)15:437
       236      6273                     68.0000   SHEMA_H(2014)65:1018
       237     12514                     68.0000   NEWMAN_M(2006)103:8577
       238     39472                     68.0000   SMALL_H(1977)7:139
       239       285                     68.0000   PORTER_A(2007)72:117
       240     36150                     68.0000   REDNER_S(2005)58:49
       241     31254                     67.0000   RAD_A(2010)17:817
       242     13835                     67.0000   OPTHOF_T(2010)4:423
       243       405                     67.0000   ACEDO_F(2005)14:619
       244      2169                     67.0000   LAWRENCE_S(2001)411:521
       245     16055                     66.0000   BAUMGART_H(2003)67:123
       246     13854                     66.0000   VINKLER_P(1986)10:157
       247     39045                     66.0000   GARFIELD_E(2005):
       248       996                     65.0000   WANG_J(2013)94:851
       249     14973                     65.0000   OPPENHEI_C(1997)53:477
       250     27332                     65.0000   VANCLAY_J(2012)92:211
       251     97941                     65.0000   SCOTT_J(2000):
       252     24119                     65.0000   KOSTOFF_R(1998)43:27
       253     23574                     65.0000   WHITE_H(1990):84
       254     11116                     65.0000   BARTNECK_C(2011)87:85
       255      4838                     65.0000   GEUNA_A(2003)41:277
       256      8577                     65.0000   ROGERS_E(2003):
       257     16008                     64.0000   HUMMON_N(1989)11:39
       258    122631                     64.0000   SMITH_A(1999)55:577
       259      9438                     64.0000   BATAGELJ_V(1998)21:47
       260       974                     63.0000   SUGIMOTO_C(2013)504:211
       261    122605                     63.0000   ZIPF_G(1932):
       262    113358                     63.0000   SMITH_A(2002)54:363
       263     13740                     63.0000   CRONIN_B(2003)54:855
